Method,Number of Days,Distance function,Days function,Base,Train file used,Test file used,TPP,TNP,FPP,FNP
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,4714,None,coletoressafra2021_31_23,29.140864777833894,0,105.06565092974489,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,4714,None,coletoressafra2122_31_23,50.08203796088763,0,94.96292130099174,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,4714,None,coletoressafra2223_31_23,49.573407460782114,0,90.98166057825256,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,166,None,coletoressafra2021_31_23,34.97546548426065,0,119.35394873805005,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,166,None,coletoressafra2122_31_23,60.538177770246236,0,111.75446135625872,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,166,None,coletoressafra2223_31_23,63.09457608950942,0,112.86052249101904,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,11822,None,coletoressafra2021_31_23,27.990205660252407,0,100.85910073492724,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,11822,None,coletoressafra2122_31_23,47.65442733308674,0,89.88187967314647,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,11822,None,coletoressafra2223_31_23,47.165251781473145,0,85.24201998101259,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,6561,None,coletoressafra2021_31_23,29.140864777833894,0,105.06565092974489,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,6561,None,coletoressafra2122_31_23,50.08203796088763,0,94.96292130099174,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,6561,None,coletoressafra2223_31_23,49.573407460782114,0,90.98166057825256,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,7398,None,coletoressafra2021_31_23,28.466537372852358,0,102.74788067949132,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,7398,None,coletoressafra2122_31_23,47.41141323840872,0,91.93036854353657,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,7398,None,coletoressafra2223_31_23,48.70196045726447,0,87.30870715356852,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1163,None,coletoressafra2021_31_23,31.60134269003588,0,111.6678749046219,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1163,None,coletoressafra2122_31_23,54.79607804844728,0,102.6081438905341,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1163,None,coletoressafra2223_31_23,55.17401601307225,0,100.22425593553945,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1160,None,coletoressafra2021_31_23,31.60134269003588,0,111.6678749046219,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1160,None,coletoressafra2122_31_23,54.79607804844728,0,102.6081438905341,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1160,None,coletoressafra2223_31_23,55.17401601307225,0,100.22425593553945,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,9314,None,coletoressafra2021_31_23,28.466537372852358,0,102.74788067949132,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,9314,None,coletoressafra2122_31_23,47.41141323840872,0,91.93036854353657,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,9314,None,coletoressafra2223_31_23,48.70196045726447,0,87.30870715356852,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,5180,None,coletoressafra2021_31_23,29.140864777833894,0,105.06565092974489,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,5180,None,coletoressafra2122_31_23,50.08203796088763,0,94.96292130099174,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,5180,None,coletoressafra2223_31_23,49.573407460782114,0,90.98166057825256,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,8206,None,coletoressafra2021_31_23,28.466537372852358,0,102.74788067949132,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,8206,None,coletoressafra2122_31_23,47.41141323840872,0,91.93036854353657,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,8206,None,coletoressafra2223_31_23,48.70196045726447,0,87.30870715356852,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,7090,None,coletoressafra2021_31_23,28.466537372852358,0,102.74788067949132,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,7090,None,coletoressafra2122_31_23,47.41141323840872,0,91.93036854353657,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,7090,None,coletoressafra2223_31_23,48.70196045726447,0,87.30870715356852,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,3344,None,coletoressafra2021_31_23,29.561539462359118,0,107.04422267673118,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,3344,None,coletoressafra2122_31_23,51.206838907290425,0,97.02905551781332,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,3344,None,coletoressafra2223_31_23,51.6900728995775,0,93.09425013859338,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1238,None,coletoressafra2021_31_23,31.60134269003588,0,111.6678749046219,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1238,None,coletoressafra2122_31_23,54.79607804844728,0,102.6081438905341,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1238,None,coletoressafra2223_31_23,55.17401601307225,0,100.22425593553945,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,10472,None,coletoressafra2021_31_23,27.990205660252407,0,100.85910073492724,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,10472,None,coletoressafra2122_31_23,47.65442733308674,0,89.88187967314647,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,10472,None,coletoressafra2223_31_23,47.165251781473145,0,85.24201998101259,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,4178,None,coletoressafra2021_31_23,29.561539462359118,0,107.04422267673118,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,4178,None,coletoressafra2122_31_23,51.206838907290425,0,97.02905551781332,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,4178,None,coletoressafra2223_31_23,51.6900728995775,0,93.09425013859338,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,10830,None,coletoressafra2021_31_23,27.990205660252407,0,100.85910073492724,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,10830,None,coletoressafra2122_31_23,47.65442733308674,0,89.88187967314647,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,10830,None,coletoressafra2223_31_23,47.165251781473145,0,85.24201998101259,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,2284,None,coletoressafra2021_31_23,29.783495492866262,0,108.05167292163515,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,2284,None,coletoressafra2122_31_23,51.74739706930461,0,98.3844733032401,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,2284,None,coletoressafra2223_31_23,52.71395795836586,0,94.57419481615031,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,11340,None,coletoressafra2021_31_23,27.990205660252407,0,100.85910073492724,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,11340,None,coletoressafra2122_31_23,47.65442733308674,0,89.88187967314647,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,11340,None,coletoressafra2223_31_23,47.165251781473145,0,85.24201998101259,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,9404,None,coletoressafra2021_31_23,27.990205660252407,0,100.85910073492724,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,9404,None,coletoressafra2122_31_23,47.65442733308674,0,89.88187967314647,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,9404,None,coletoressafra2223_31_23,47.165251781473145,0,85.24201998101259,0
